uf,nome,sim,sim%,nao,nao%,total,latitude,longitude
PA,Ipixuna do Pará (PA),14525.0,0.8942313612017484,1718.0,0.10576863879825156,16243.0,-2.55992,-47.5059
PA,Irituia (PA),8314.0,0.9478964770265648,457.0,0.052103522973435186,8771.0,-1.76984,-47.44600000000001
PA,Itaituba (PA),28160.0,0.9675313520013743,945.0,0.032468647998625665,29105.0,-4.2667,-55.9926
PA,Itupiranga (PA),13340.0,0.9113889458222313,1297.0,0.08861105417776867,14637.0,-5.13272,-49.3358
PA,Jacareacanga (PA),3196.0,0.8344647519582246,634.0,0.16553524804177547,3830.0,-6.21469,-57.7544
PA,Jacundá (PA),15622.0,0.9551235020787479,734.0,0.04487649792125214,16356.0,-4.44617,-49.1153
PA,Juruti (PA),13235.0,0.9709485731054215,396.0,0.029051426894578534,13631.0,-2.16347,-56.0889
PA,Limoeiro do Ajuru (PA),7129.0,0.9396335837616976,458.0,0.060366416238302356,7587.0,-1.8985,-49.3903
PA,Mãe do Rio (PA),7804.0,0.9506639054696066,405.0,0.04933609453039347,8209.0,-2.05683,-47.5601
PA,Magalhães Barata (PA),2180.0,0.9637488947833776,82.0,0.036251105216622455,2262.0,-0.803391,-47.6014
PA,Marabá (PA),70769.0,0.9683771209633278,2311.0,0.03162287903667214,73080.0,-5.38075,-49.1327
PA,Maracanã (PA),7396.0,0.9558025329542518,342.0,0.04419746704574826,7738.0,-0.778899,-47.452
PA,Marapanim (PA),6994.0,0.9692350332594235,222.0,0.030764966740576497,7216.0,-0.7147020000000001,-47.7034
PA,Marituba (PA),31979.0,0.9756238940752944,799.0,0.024376105924705595,32778.0,-1.36002,-48.3421
PA,Medicilândia (PA),7654.0,0.9370714985308521,514.0,0.0629285014691479,8168.0,-3.4463699999999995,-52.8875
PA,Melgaço (PA),5483.0,0.7384511784511785,1942.0,0.26154882154882153,7425.0,-1.8032,-50.7149
PA,Mocajuba (PA),7559.0,0.9672424824056302,256.0,0.0327575175943698,7815.0,-2.5831,-49.5042
PA,Moju (PA),19606.0,0.9299435564198644,1477.0,0.07005644358013566,21083.0,-1.88993,-48.7668
PA,Monte Alegre (PA),14511.0,0.9613753809460713,583.0,0.038624619053928715,15094.0,-1.99768,-54.0724
PA,Muaná (PA),9532.0,0.9288637692457611,730.0,0.07113623075423894,10262.0,-1.53936,-49.2224
PA,Nova Esperança do Piriá (PA),5091.0,0.8347270044269552,1008.0,0.16527299557304476,6099.0,-2.26693,-46.9731
PA,Nova Ipixuna (PA),3848.0,0.9254449254449254,310.0,0.07455507455507455,4158.0,-4.91622,-49.0822
PA,Nova Timboteua (PA),3566.0,0.9330193615907901,256.0,0.06698063840920984,3822.0,-1.20874,-47.3921
PA,Novo Progresso (PA),6846.0,0.9824913892078071,122.0,0.01750861079219288,6968.0,-7.14347,-55.3786
PA,Novo Repartimento (PA),16751.0,0.9319572716145543,1223.0,0.06804272838544564,17974.0,-4.24749,-49.9499
PA,Óbidos (PA),12600.0,0.9502262443438914,660.0,0.049773755656108594,13260.0,-1.90107,-55.5208
PA,Oeiras do Pará (PA),7457.0,0.9258753414452446,597.0,0.0741246585547554,8054.0,-2.00358,-49.8628
PA,Oriximiná (PA),16783.0,0.9607854362262422,685.0,0.039214563773757725,17468.0,-1.7598900000000002,-55.8579
PA,Ourém (PA),4369.0,0.9377548830221077,290.0,0.06224511697789225,4659.0,-1.54168,-47.1126
PA,Ourilândia do Norte (PA),8344.0,0.9490445859872612,448.0,0.050955414012738856,8792.0,-6.7529,-51.0858
PA,Pacajá (PA),10869.0,0.926756480218281,859.0,0.07324351978171896,11728.0,-3.83542,-50.6399
PA,Palestina do Pará (PA),2047.0,0.9459334565619224,117.0,0.05406654343807763,2164.0,-5.74027,-48.3181
PA,Paragominas (PA),29429.0,0.9551768906199286,1381.0,0.044823109380071405,30810.0,-3.00212,-47.3527
PA,Parauapebas (PA),51207.0,0.9775872931024608,1174.0,0.022412706897539183,52381.0,-6.06781,-49.9037
PA,Pau D'Arco (PA),1542.0,0.9012273524254821,169.0,0.09877264757451783,1711.0,-1.59772,-46.9268
PA,Peixe-Boi (PA),2042.0,0.934981684981685,142.0,0.06501831501831502,2184.0,-1.19382,-47.324
PA,Piçarra (PA),3244.0,0.9329882082254818,233.0,0.06701179177451826,3477.0,-6.43778,-48.8716
PA,Placas (PA),6648.0,0.9363380281690141,452.0,0.06366197183098592,7100.0,-3.86813,-54.2124
PA,Ponta de Pedras (PA),7232.0,0.9317186292192734,530.0,0.06828137078072662,7762.0,-1.3958700000000002,-48.8661
PA,Portel (PA),12303.0,0.8449862637362637,2257.0,0.15501373626373627,14560.0,-1.93639,-50.8194
PA,Porto de Moz (PA),9228.0,0.9039083161915956,981.0,0.09609168380840435,10209.0,-1.74691,-52.2361
PA,Prainha (PA),7509.0,0.9193192948090108,659.0,0.08068070519098923,8168.0,-1.798,-53.4779
PA,Primavera (PA),2641.0,0.915424610051993,244.0,0.08457538994800694,2885.0,-0.945439,-47.1253
PA,Quatipuru (PA),3065.0,0.8665535764772406,472.0,0.1334464235227594,3537.0,-0.8996040000000001,-47.0134
PA,Redenção (PA),21555.0,0.9712521966385798,638.0,0.028747803361420268,22193.0,-8.02529,-50.0317
PA,Rio Maria (PA),4914.0,0.9738406658739596,132.0,0.026159334126040427,5046.0,-7.312360000000001,-50.0379
PA,Rondon do Pará (PA),13153.0,0.9306587419514611,980.0,0.06934125804853888,14133.0,-4.7779300000000005,-48.067
PA,Rurópolis (PA),11019.0,0.9379468845760981,729.0,0.06205311542390194,11748.0,-4.1002800000000015,-54.9092
PA,Salinópolis (PA),11029.0,0.9680505573597823,364.0,0.03194944264021768,11393.0,-0.630815,-47.3465
PA,Salvaterra (PA),5582.0,0.9624137931034483,218.0,0.037586206896551726,5800.0,-0.758444,-48.5139
PA,Santa Bárbara do Pará (PA),4859.0,0.9840016200891049,79.0,0.0159983799108951,4938.0,-1.19219,-48.238
PA,Santa Cruz do Arari (PA),2413.0,0.9485062893081762,131.0,0.0514937106918239,2544.0,-0.6610189999999999,-49.1771
PA,Santa Izabel do Pará (PA),18142.0,0.9597418399195895,761.0,0.04025816008041052,18903.0,-1.29686,-48.1606
PA,Santa Luzia do Pará (PA),5290.0,0.9047374722079699,557.0,0.09526252779203011,5847.0,-1.52147,-46.9008
PA,Santa Maria das Barreiras (PA),4025.0,0.9338747099767981,285.0,0.06612529002320186,4310.0,-8.85784,-49.7215
PA,Santa Maria do Pará (PA),6361.0,0.9464365421812231,360.0,0.053563457818776965,6721.0,-1.35392,-47.5712
